Category,Topic,Indicator,Year,Sex,Result,95% CI (L),95% CI (U),Unit,SE,Region
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2019,Person,65.5,52.8,76.4,Per cent,6.1,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2020,Female,24.1,19.7,29.1,Per cent,2.4,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2020,Male,39.8,34.5,45.3,Per cent,2.8,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2020,Person,16.8,11.0,24.9,Per cent,3.5,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2020,Person,30.6,25.5,36.3,Per cent,2.8,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2020,Person,32.1,28.6,35.8,Per cent,1.8,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2020,Person,36.3,30.8,42.2,Per cent,2.9,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2020,Person,44.9,30.4,60.4,Per cent,7.9,1
Alcohol,Frequency,1. Doesn't drink,2011/12,Female,28.5,25.0,32.4,Per cent,1.9,1
Alcohol,Frequency,1. Doesn't drink,2011/12,Male,18.0,14.6,21.9,Per cent,1.9,1
Alcohol,Frequency,1. Doesn't drink,2011/12,Person,23.4,20.9,26.2,Per cent,1.3,1
Alcohol,Frequency,1. Doesn't drink,2013/14,Female,27.9,24.1,32.0,Per cent,2.0,1
Alcohol,Frequency,1. Doesn't drink,2013/14,Male,21.9,18.0,26.4,Per cent,2.1,1
Alcohol,Frequency,1. Doesn't drink,2013/14,Person,25.1,22.3,28.1,Per cent,1.5,1
Alcohol,Frequency,1. Doesn't drink,2015/16,Female,30.7,26.4,35.2,Per cent,2.2,1
Alcohol,Frequency,1. Doesn't drink,2015/16,Male,24.8,20.4,29.8,Per cent,2.4,1
Alcohol,Frequency,1. Doesn't drink,2015/16,Person,27.9,24.8,31.2,Per cent,1.6,1
Alcohol,Frequency,1. Doesn't drink,2018,Female,23.4,19.7,27.6,Per cent,2.0,1
Alcohol,Frequency,1. Doesn't drink,2018,Male,16.1,12.6,20.3,Per cent,2.0,1
Alcohol,Frequency,1. Doesn't drink,2018,Person,19.8,17.2,22.7,Per cent,1.4,1
Alcohol,Frequency,1. Doesn't drink,2019,Female,25.1,21.8,28.7,Per cent,1.7,1
Alcohol,Frequency,1. Doesn't drink,2019,Male,17.1,14.0,20.6,Per cent,1.7,1
Alcohol,Frequency,1. Doesn't drink,2019,Person,21.1,18.8,23.6,Per cent,1.2,1
Alcohol,Frequency,1. Doesn't drink,2020,Female,21.1,17.3,25.6,Per cent,2.1,1
Alcohol,Frequency,1. Doesn't drink,2020,Male,15.9,12.0,20.6,Per cent,2.2,1
Alcohol,Frequency,1. Doesn't drink,2020,Person,19.0,16.1,22.2,Per cent,1.6,1
Alcohol,Frequency,2. <1/month,2018,Female,16.0,12.6,20.0,Per cent,1.9,1
Alcohol,Frequency,2. <1/month,2018,Male,10.3,7.4,14.1,Per cent,1.7,1
Alcohol,Frequency,2. <1/month,2018,Person,13.2,10.9,15.9,Per cent,1.3,1
Alcohol,Frequency,2. <1/month,2019,Female,13.0,10.5,16.1,Per cent,1.4,1
Alcohol,Frequency,2. <1/month,2019,Male,7.8,5.7,10.6,Per cent,1.2,1
Alcohol,Frequency,2. <1/month,2019,Person,10.4,8.7,12.4,Per cent,0.9,1
Alcohol,Frequency,2. <1/month,2020,Female,13.3,10.1,17.4,Per cent,1.8,1
Alcohol,Frequency,2. <1/month,2020,Male,8.0,5.5,11.6,Per cent,1.5,1
Alcohol,Frequency,2. <1/month,2020,Person,10.5,8.4,13.0,Per cent,1.2,1
Alcohol,Meets alcohol guideline,Meets 2020 alcohol guideline,2020,Female,83.4,78.9,87.1,Per cent,2.1,1
Alcohol,Meets alcohol guideline,Meets 2020 alcohol guideline,2020,Male,73.3,68.1,78.0,Per cent,2.5,1
Alcohol,Meets alcohol guideline,Meets 2020 alcohol guideline,2020,Person,60.9,44.8,75.0,Per cent,7.8,1
Alcohol,Meets alcohol guideline,Meets 2020 alcohol guideline,2020,Person,76.1,70.5,80.9,Per cent,2.6,1
Alcohol,Meets alcohol guideline,Meets 2020 alcohol guideline,2020,Person,78.2,74.7,81.2,Per cent,1.7,1
Alcohol,Meets alcohol guideline,Meets 2020 alcohol guideline,2020,Person,80.2,74.9,84.7,Per cent,2.5,1
Alcohol,Meets alcohol guideline,Meets 2020 alcohol guideline,2020,Person,88.9,82.7,93.1,Per cent,2.6,1
Discrimination,Frequency,1. All/most of the time in the past year,2019,Persons,10.8,7.0,16.4,Per cent,2.4,1
Discrimination,Frequency,2. Some of the time in the past year,2019,Persons,34.5,28.3,41.4,Per cent,3.4,1
Discrimination,Frequency,3. A little of the time in the past year,2019,Persons,42.2,35.6,49.0,Per cent,3.4,1
Discrimination,Frequency,4. Happened once in the past year,2019,Persons,12.5,8.6,17.6,Per cent,2.3,1
Discrimination,Reason for most recent discrimination,Age,2019,Persons,27.9,22.5,34.1,Per cent,2.9,1
Discrimination,Reason for most recent discrimination,Appearance,2019,Persons,18.6,13.7,24.7,Per cent,2.8,1
Discrimination,Reason for most recent discrimination,Disability,2019,Persons,19.1,14.3,25.0,Per cent,2.7,1
Discrimination,Reason for most recent discrimination,Family status,2019,Persons,12.5,8.2,18.8,Per cent,2.7,1
Discrimination,Reason for most recent discrimination,Gender,2019,Persons,32.4,26.4,39.0,Per cent,3.2,1
Discrimination,Reason for most recent discrimination,Language,2019,Persons,15.1,10.7,20.9,Per cent,2.6,1
Discrimination,Reason for most recent discrimination,Marital status,2019,Persons,7.9,4.8,12.7,Per cent,2.0,1
Discrimination,Reason for most recent discrimination,Nationality/race,2019,Persons,41.7,34.9,48.9,Per cent,3.6,1
Discrimination,Reason for most recent discrimination,Occupation,2019,Persons,17.6,12.6,24.1,Per cent,2.9,1
Discrimination,Reason for most recent discrimination,Politics,2019,Persons,9.4,6.2,14.0,Per cent,2.0,1
Discrimination,Reason for most recent discrimination,Religion,2019,Persons,9.1,5.6,14.3,Per cent,2.2,1
Discrimination,Reason for most recent discrimination,Sexual orientation,2019,Persons,4.3,2.3,7.9,Per cent,1.4,1
Discrimination,Reason for most recent discrimination,Skin colour,2019,Persons,25.0,19.3,31.7,Per cent,3.1,1
E-Cigarettes,Status,Ever used,2018,Female,7.9,5.4,11.3,Per cent,1.5,1
E-Cigarettes,Status,Ever used,2018,Male,11.5,8.3,15.7,Per cent,1.9,1
E-Cigarettes,Status,Ever used,2018,Person,9.6,7.5,12.3,Per cent,1.2,1
E-Cigarettes,Status,Ever used,2020,Female,7.9,5.4,11.4,Per cent,1.5,1
E-Cigarettes,Status,Ever used,2020,Male,13.5,10.0,18.0,Per cent,2.0,1
E-Cigarettes,Status,Ever used,2020,Person,11.0,8.7,13.8,Per cent,1.3,1
E-Cigarettes,Status,Never used,2018,Female,92.1,88.7,94.6,Per cent,1.5,1
E-Cigarettes,Status,Never used,2018,Male,88.5,84.4,91.7,Per cent,1.9,1
E-Cigarettes,Status,Never used,2018,Person,90.4,87.8,92.5,Per cent,1.2,1
E-Cigarettes,Status,Never used,2020,Female,92.1,88.6,94.6,Per cent,1.5,1
E-Cigarettes,Status,Never used,2020,Male,86.5,82.0,90.0,Per cent,2.0,1
E-Cigarettes,Status,Never used,2020,Person,89.0,86.2,91.3,Per cent,1.3,1
Health,Disability,"Disability, health condition or injury",2019,Female,22.7,19.7,25.9,Per cent,1.6,1
Health,Disability,"Disability, health condition or injury",2019,Male,16.6,13.7,19.9,Per cent,1.6,1
Health,Disability,"Disability, health condition or injury",2019,Person,19.6,17.5,21.9,Per cent,1.1,1
Health,Disability,"Disability, health condition or injury",2020,Female,6.8,4.4,10.3,Per cent,1.5,1
Health,Disability,"Disability, health condition or injury",2020,Female,23.1,19.0,27.8,Per cent,2.3,1
Health,Disability,"Disability, health condition or injury",2020,Male,13.9,10.7,17.9,Per cent,1.8,1
Health,Disability,"Disability, health condition or injury",2020,Male,16.4,12.8,20.8,Per cent,2.0,1
Health,Disability,"Disability, health condition or injury",2020,Person,10.3,8.2,12.8,Per cent,1.2,1
Health,Disability,"Disability, health condition or injury",2020,Person,19.5,16.7,22.7,Per cent,1.5,1
Health,Self-rated health,1. Excellent/very good,2011/12,Female,51.7,47.6,55.8,Per cent,2.1,1
Health,Self-rated health,1. Excellent/very good,2011/12,Female,74.2,68.2,79.5,Per cent,2.9,1
Health,Self-rated health,1. Excellent/very good,2011/12,Male,56.4,51.8,60.9,Per cent,2.3,1
Health,Self-rated health,1. Excellent/very good,2011/12,Male,70.2,64.3,75.5,Per cent,2.9,1
Health,Self-rated health,1. Excellent/very good,2011/12,Person,44.9,39.7,50.2,Per cent,2.7,1
Health,Self-rated health,1. Excellent/very good,2011/12,Person,53.5,48.9,58.1,Per cent,2.4,1
Health,Self-rated health,1. Excellent/very good,2011/12,Person,54.0,50.9,57.0,Per cent,1.6,1
Health,Self-rated health,1. Excellent/very good,2011/12,Person,55.5,46.0,64.6,Per cent,4.8,1
Health,Self-rated health,1. Excellent/very good,2011/12,Person,56.5,51.0,61.9,Per cent,2.8,1
Health,Self-rated health,1. Excellent/very good,2011/12,Person,72.2,68.1,76.0,Per cent,2.0,1
Health,Self-rated health,1. Excellent/very good,2013/14,Female,50.9,46.4,55.3,Per cent,2.3,1
Health,Self-rated health,1. Excellent/very good,2013/14,Female,74.3,67.7,79.9,Per cent,3.1,1
Health,Self-rated health,1. Excellent/very good,2013/14,Male,55.3,50.4,60.0,Per cent,2.5,1
Health,Self-rated health,1. Excellent/very good,2013/14,Male,72.2,65.5,78.0,Per cent,3.2,1
Health,Self-rated health,1. Excellent/very good,2013/14,Person,44.3,39.6,49.1,Per cent,2.4,1
Health,Self-rated health,1. Excellent/very good,2013/14,Person,49.5,44.7,54.4,Per cent,2.5,1
Health,Self-rated health,1. Excellent/very good,2013/14,Person,52.9,49.6,56.2,Per cent,1.7,1
Health,Self-rated health,1. Excellent/very good,2013/14,Person,55.6,49.1,61.9,Per cent,3.3,1
Health,Self-rated health,1. Excellent/very good,2013/14,Person,66.1,55.1,75.5,Per cent,5.2,1
Health,Self-rated health,1. Excellent/very good,2013/14,Person,73.2,68.6,77.3,Per cent,2.2,1
Health,Self-rated health,1. Excellent/very good,2015/16,Female,58.1,53.5,62.6,Per cent,2.3,1
Health,Self-rated health,1. Excellent/very good,2015/16,Female,74.6,68.1,80.2,Per cent,3.1,1
Health,Self-rated health,1. Excellent/very good,2015/16,Male,56.9,51.6,62.0,Per cent,2.7,1
Health,Self-rated health,1. Excellent/very good,2015/16,Male,75.0,68.8,80.2,Per cent,2.9,1
Health,Self-rated health,1. Excellent/very good,2015/16,Person,52.1,47.5,56.7,Per cent,2.4,1
Health,Self-rated health,1. Excellent/very good,2015/16,Person,56.8,51.5,61.9,Per cent,2.7,1
Health,Self-rated health,1. Excellent/very good,2015/16,Person,57.5,54.0,60.9,Per cent,1.8,1
Health,Self-rated health,1. Excellent/very good,2015/16,Person,57.9,45.8,69.0,Per cent,6.0,1
Health,Self-rated health,1. Excellent/very good,2015/16,Person,60.8,53.7,67.5,Per cent,3.5,1
Health,Self-rated health,1. Excellent/very good,2015/16,Person,74.8,70.4,78.7,Per cent,2.1,1
Health,Self-rated health,1. Excellent/very good,2018,Female,50.1,45.5,54.8,Per cent,2.4,1
Health,Self-rated health,1. Excellent/very good,2018,Female,74.3,63.4,82.9,Per cent,5.0,1
Health,Self-rated health,1. Excellent/very good,2018,Male,44.6,39.7,49.7,Per cent,2.6,1
Health,Self-rated health,1. Excellent/very good,2018,Male,81.9,74.7,87.5,Per cent,3.2,1
Health,Self-rated health,1. Excellent/very good,2018,Person,45.2,38.8,51.8,Per cent,3.3,1
Health,Self-rated health,1. Excellent/very good,2018,Person,45.7,32.6,59.4,Per cent,7.0,1
Health,Self-rated health,1. Excellent/very good,2018,Person,45.9,40.7,51.1,Per cent,2.7,1
Health,Self-rated health,1. Excellent/very good,2018,Person,47.4,44.0,50.9,Per cent,1.8,1
Health,Self-rated health,1. Excellent/very good,2018,Person,50.0,44.5,55.4,Per cent,2.8,1
Health,Self-rated health,1. Excellent/very good,2018,Person,78.1,71.5,83.5,Per cent,3.0,1
Health,Self-rated health,1. Excellent/very good,2019,Female,48.4,44.6,52.3,Per cent,2.0,1
Health,Self-rated health,1. Excellent/very good,2019,Male,55.6,51.1,60.0,Per cent,2.3,1
Health,Self-rated health,1. Excellent/very good,2019,Person,49.2,44.4,54.0,Per cent,2.4,1
Health,Self-rated health,1. Excellent/very good,2019,Person,52.0,49.0,54.9,Per cent,1.5,1
Health,Self-rated health,1. Excellent/very good,2019,Person,52.4,47.4,57.4,Per cent,2.6,1
Health,Self-rated health,1. Excellent/very good,2019,Person,57.0,52.9,61.0,Per cent,2.1,1
Health,Self-rated health,1. Excellent/very good,2020,Female,53.2,48.0,58.4,Per cent,2.7,1
Health,Self-rated health,1. Excellent/very good,2020,Female,80.4,75.7,84.4,Per cent,2.2,1
Health,Self-rated health,1. Excellent/very good,2020,Male,56.7,51.0,62.1,Per cent,2.8,1
Health,Self-rated health,1. Excellent/very good,2020,Male,78.7,73.2,83.3,Per cent,2.6,1
Health,Self-rated health,1. Excellent/very good,2020,Person,47.7,37.6,57.9,Per cent,5.2,1
Health,Self-rated health,1. Excellent/very good,2020,Person,51.3,45.5,57.1,Per cent,3.0,1
Health,Self-rated health,1. Excellent/very good,2020,Person,54.5,50.6,58.3,Per cent,2.0,1
Health,Self-rated health,1. Excellent/very good,2020,Person,57.7,51.9,63.4,Per cent,2.9,1
Health,Self-rated health,1. Excellent/very good,2020,Person,61.1,45.2,75.0,Per cent,7.8,1
Health,Self-rated health,1. Excellent/very good,2020,Person,79.6,76.1,82.7,Per cent,1.7,1
Health,Self-rated health,2. Good,2011/12,Female,15.9,11.7,21.1,Per cent,2.4,1
Health,Self-rated health,2. Good,2011/12,Female,27.3,23.9,31.1,Per cent,1.8,1
Health,Self-rated health,2. Good,2011/12,Male,21.4,16.6,27.2,Per cent,2.7,1
Health,Self-rated health,2. Good,2011/12,Male,29.7,25.7,34.1,Per cent,2.1,1
Health,Self-rated health,2. Good,2011/12,Person,18.6,15.3,22.4,Per cent,1.8,1
Health,Self-rated health,2. Good,2011/12,Person,26.8,23.1,31.0,Per cent,2.0,1
Health,Self-rated health,2. Good,2011/12,Person,28.5,25.8,31.3,Per cent,1.4,1
Health,Self-rated health,2. Good,2011/12,Person,29.0,24.3,34.3,Per cent,2.5,1
Health,Self-rated health,2. Good,2011/12,Person,29.2,21.2,38.7,Per cent,4.5,1
Health,Self-rated health,2. Good,2011/12,Person,30.9,26.2,36.0,Per cent,2.5,1
Health,Self-rated health,2. Good,2013/14,Female,19.3,14.3,25.5,Per cent,2.8,1
Health,Self-rated health,2. Good,2013/14,Female,27.7,24.0,31.8,Per cent,2.0,1
Health,Self-rated health,2. Good,2013/14,Male,20.6,15.4,26.9,Per cent,2.9,1
Health,Self-rated health,2. Good,2013/14,Male,29.1,24.8,33.8,Per cent,2.3,1
Health,Self-rated health,2. Good,2013/14,Person,20.0,16.3,24.3,Per cent,2.0,1
Health,Self-rated health,2. Good,2013/14,Person,25.1,16.7,35.8,Per cent,4.9,1
Health,Self-rated health,2. Good,2013/14,Person,27.7,22.3,33.8,Per cent,2.9,1
Health,Self-rated health,2. Good,2013/14,Person,27.9,23.8,32.4,Per cent,2.2,1
Health,Self-rated health,2. Good,2013/14,Person,28.4,25.5,31.4,Per cent,1.5,1
Health,Self-rated health,2. Good,2013/14,Person,30.2,25.9,34.9,Per cent,2.3,1
Health,Self-rated health,2. Good,2015/16,Female,18.2,13.4,24.4,Per cent,2.8,1
Health,Self-rated health,2. Good,2015/16,Female,24.7,20.9,29.0,Per cent,2.1,1
Health,Self-rated health,2. Good,2015/16,Male,17.1,12.5,22.9,Per cent,2.7,1
Health,Self-rated health,2. Good,2015/16,Male,27.5,23.0,32.5,Per cent,2.4,1
Health,Self-rated health,2. Good,2015/16,Person,17.7,14.2,21.8,Per cent,1.9,1
Health,Self-rated health,2. Good,2015/16,Person,24.3,18.8,30.9,Per cent,3.1,1
Health,Self-rated health,2. Good,2015/16,Person,25.2,21.8,28.9,Per cent,1.8,1
Health,Self-rated health,2. Good,2015/16,Person,26.0,23.1,29.2,Per cent,1.6,1
Health,Self-rated health,2. Good,2015/16,Person,26.4,22.0,31.4,Per cent,2.4,1
Health,Self-rated health,2. Good,2015/16,Person,31.2,21.2,43.3,Per cent,5.7,1
Health,Self-rated health,2. Good,2018,Female,20.8,12.8,31.9,Per cent,4.9,1
Health,Self-rated health,2. Good,2018,Female,27.5,23.6,31.7,Per cent,2.1,1
Health,Self-rated health,2. Good,2018,Male,10.4,6.4,16.5,Per cent,2.5,1
Health,Self-rated health,2. Good,2018,Male,34.0,29.3,39.0,Per cent,2.5,1
Health,Self-rated health,2. Good,2018,Person,15.7,10.8,22.1,Per cent,2.9,1
Health,Self-rated health,2. Good,2018,Person,26.9,21.7,32.8,Per cent,2.9,1
Health,Self-rated health,2. Good,2018,Person,28.4,17.8,42.0,Per cent,6.3,1
Health,Self-rated health,2. Good,2018,Person,30.5,25.8,35.7,Per cent,2.5,1
Health,Self-rated health,2. Good,2018,Person,30.7,27.6,34.0,Per cent,1.6,1
Health,Self-rated health,2. Good,2018,Person,34.2,29.2,39.5,Per cent,2.6,1
Health,Self-rated health,2. Good,2019,Female,32.1,28.5,35.9,Per cent,1.9,1
Health,Self-rated health,2. Good,2019,Male,30.6,26.4,35.0,Per cent,2.2,1
Health,Self-rated health,2. Good,2019,Person,26.2,22.2,30.6,Per cent,2.2,1
Health,Self-rated health,2. Good,2019,Person,26.7,23.2,30.5,Per cent,1.8,1
Health,Self-rated health,2. Good,2019,Person,31.3,28.6,34.3,Per cent,1.4,1
Health,Self-rated health,2. Good,2019,Person,32.0,27.5,37.0,Per cent,2.4,1
Health,Self-rated health,2. Good,2019,Person,47.9,36.0,60.0,Per cent,6.3,1
Health,Self-rated health,2. Good,2020,Female,15.5,11.9,19.9,Per cent,2.0,1
Health,Self-rated health,2. Good,2020,Female,29.0,24.6,33.9,Per cent,2.4,1
Health,Self-rated health,2. Good,2020,Male,14.7,10.7,19.8,Per cent,2.3,1
Health,Self-rated health,2. Good,2020,Male,29.6,24.8,35.0,Per cent,2.6,1
Health,Self-rated health,2. Good,2020,Person,15.1,12.3,18.4,Per cent,1.5,1
Health,Self-rated health,2. Good,2020,Person,22.9,16.2,31.4,Per cent,3.8,1
Health,Self-rated health,2. Good,2020,Person,28.4,23.4,33.9,Per cent,2.7,1
Health,Self-rated health,2. Good,2020,Person,29.4,26.1,33.0,Per cent,1.8,1
Health,Self-rated health,2. Good,2020,Person,34.6,29.0,40.6,Per cent,3.0,1
Health,Self-rated health,3. Fair/poor,2011/12,Female,9.9,6.6,14.7,Per cent,2.1,1
Health,Self-rated health,3. Fair/poor,2011/12,Female,21.0,17.8,24.6,Per cent,1.7,1
Health,Self-rated health,3. Fair/poor,2011/12,Male,8.4,5.8,11.9,Per cent,1.5,1
Health,Self-rated health,3. Fair/poor,2011/12,Male,13.9,11.2,17.1,Per cent,1.5,1
Health,Self-rated health,3. Fair/poor,2011/12,Person,9.2,6.9,12.0,Per cent,1.3,1
Health,Self-rated health,3. Fair/poor,2011/12,Person,14.5,11.0,18.8,Per cent,2.0,1
Health,Self-rated health,3. Fair/poor,2011/12,Person,15.3,9.9,22.9,Per cent,3.3,1
Health,Self-rated health,3. Fair/poor,2011/12,Person,17.5,15.4,19.9,Per cent,1.2,1
Health,Self-rated health,3. Fair/poor,2011/12,Person,19.7,16.2,23.7,Per cent,1.9,1
Health,Self-rated health,3. Fair/poor,2011/12,Person,24.2,19.9,29.1,Per cent,2.4,1
Health,Self-rated health,3. Fair/poor,2013/14,Female,6.4,3.7,10.9,Per cent,1.8,1
Health,Self-rated health,3. Fair/poor,2013/14,Female,21.4,18.0,25.2,Per cent,1.8,1
Health,Self-rated health,3. Fair/poor,2013/14,Male,7.2,4.4,11.7,Per cent,1.8,1
Health,Self-rated health,3. Fair/poor,2013/14,Male,15.6,12.5,19.3,Per cent,1.7,1
Health,Self-rated health,3. Fair/poor,2013/14,Person,6.8,4.7,9.8,Per cent,1.3,1
Health,Self-rated health,3. Fair/poor,2013/14,Person,8.9,4.6,16.5,Per cent,2.9,1
Health,Self-rated health,3. Fair/poor,2013/14,Person,16.7,12.4,22.1,Per cent,2.5,1
Health,Self-rated health,3. Fair/poor,2013/14,Person,18.7,16.4,21.3,Per cent,1.3,1
Health,Self-rated health,3. Fair/poor,2013/14,Person,20.3,16.5,24.6,Per cent,2.1,1
Health,Self-rated health,3. Fair/poor,2013/14,Person,27.8,23.7,32.4,Per cent,2.2,1
Health,Self-rated health,3. Fair/poor,2015/16,Female,7.2,4.4,11.5,Per cent,1.8,1
Health,Self-rated health,3. Fair/poor,2015/16,Female,17.2,14.1,20.7,Per cent,1.7,1
Health,Self-rated health,3. Fair/poor,2015/16,Male,8.0,5.4,11.6,Per cent,1.6,1
Health,Self-rated health,3. Fair/poor,2015/16,Male,15.7,12.3,19.7,Per cent,1.9,1
Health,Self-rated health,3. Fair/poor,2015/16,Person,7.6,5.6,10.2,Per cent,1.2,1
Health,Self-rated health,3. Fair/poor,2015/16,Person,10.9,5.6,20.3,Per cent,3.6,1
Health,Self-rated health,3. Fair/poor,2015/16,Person,14.9,10.5,20.7,Per cent,2.6,1
Health,Self-rated health,3. Fair/poor,2015/16,Person,16.4,14.1,19.1,Per cent,1.3,1
Health,Self-rated health,3. Fair/poor,2015/16,Person,16.8,13.4,20.9,Per cent,1.9,1
Health,Self-rated health,3. Fair/poor,2015/16,Person,22.7,19.1,26.7,Per cent,2.0,1
Health,Self-rated health,3. Fair/poor,2018,Female,4.9,2.4,9.8,Per cent,1.8,1
Health,Self-rated health,3. Fair/poor,2018,Female,22.4,18.7,26.6,Per cent,2.0,1
Health,Self-rated health,3. Fair/poor,2018,Male,7.6,4.4,13.0,Per cent,2.1,1
Health,Self-rated health,3. Fair/poor,2018,Male,21.4,17.2,26.2,Per cent,2.3,1
Health,Self-rated health,3. Fair/poor,2018,Person,6.3,4.0,9.6,Per cent,1.4,1
Health,Self-rated health,3. Fair/poor,2018,Person,19.5,15.5,24.3,Per cent,2.3,1
Health,Self-rated health,3. Fair/poor,2018,Person,20.0,15.9,24.8,Per cent,2.3,1
Health,Self-rated health,3. Fair/poor,2018,Person,21.9,19.0,25.0,Per cent,1.5,1
Health,Self-rated health,3. Fair/poor,2018,Person,25.9,15.4,40.2,Per cent,6.4,1
Health,Self-rated health,3. Fair/poor,2018,Person,27.9,22.0,34.6,Per cent,3.2,1
Health,Self-rated health,3. Fair/poor,2019,Female,19.5,16.7,22.7,Per cent,1.5,1
Health,Self-rated health,3. Fair/poor,2019,Male,13.8,11.2,17.0,Per cent,1.5,1
Health,Self-rated health,3. Fair/poor,2019,Person,15.5,12.3,19.5,Per cent,1.8,1
Health,Self-rated health,3. Fair/poor,2019,Person,16.3,13.5,19.6,Per cent,1.5,1
Health,Self-rated health,3. Fair/poor,2019,Person,16.7,14.7,18.9,Per cent,1.1,1
Health,Self-rated health,3. Fair/poor,2019,Person,24.6,20.6,29.2,Per cent,2.2,1
Health,Self-rated health,3. Fair/poor,2020,Female,4.1,2.5,6.6,Per cent,1.0,1
Health,Self-rated health,3. Fair/poor,2020,Female,17.8,14.0,22.2,Per cent,2.1,1
Health,Self-rated health,3. Fair/poor,2020,Male,6.6,4.3,10.0,Per cent,1.4,1
Health,Self-rated health,3. Fair/poor,2020,Male,13.7,10.2,18.2,Per cent,2.0,1
Health,Self-rated health,3. Fair/poor,2020,Person,5.3,3.9,7.3,Per cent,0.9,1
Health,Self-rated health,3. Fair/poor,2020,Person,13.9,10.5,18.3,Per cent,2.0,1
Health,Self-rated health,3. Fair/poor,2020,Person,14.1,11.0,18.0,Per cent,1.8,1
Health,Self-rated health,3. Fair/poor,2020,Person,16.1,13.4,19.3,Per cent,1.5,1
Health,Self-rated health,3. Fair/poor,2020,Person,29.4,19.9,41.0,Per cent,5.4,1
Mental health,Mental health conditions,A stress-related problem,2011/12,Female,8.7,6.8,11.2,Per cent,1.1,1
Mental health,Mental health conditions,A stress-related problem,2011/12,Male,4.5,3.1,6.6,Per cent,0.9,1
Mental health,Mental health conditions,A stress-related problem,2011/12,Person,6.7,5.4,8.2,Per cent,0.7,1
Mental health,Mental health conditions,A stress-related problem,2013/14,Female,9.8,7.4,12.9,Per cent,1.4,1
Mental health,Mental health conditions,A stress-related problem,2013/14,Male,4.4,2.9,6.8,Per cent,1.0,1
Mental health,Mental health conditions,A stress-related problem,2013/14,Person,7.3,5.8,9.2,Per cent,0.9,1
Mental health,Mental health conditions,A stress-related problem,2015/16,Female,8.2,5.8,11.4,Per cent,1.4,1
Mental health,Mental health conditions,A stress-related problem,2015/16,Male,5.3,3.4,8.3,Per cent,1.2,1
Mental health,Mental health conditions,A stress-related problem,2015/16,Person,6.8,5.2,8.9,Per cent,0.9,1
Mental health,Mental health conditions,A stress-related problem,2018,Female,16.8,13.7,20.5,Per cent,1.7,1
Mental health,Mental health conditions,A stress-related problem,2018,Male,5.8,3.0,11.0,Per cent,1.9,1
Mental health,Mental health conditions,A stress-related problem,2018,Male,8.8,6.3,12.2,Per cent,1.5,1
Mental health,Mental health conditions,A stress-related problem,2018,Person,5.2,3.1,8.7,Per cent,1.4,1
Mental health,Mental health conditions,A stress-related problem,2018,Person,12.9,10.8,15.3,Per cent,1.2,1
Mental health,Mental health conditions,A stress-related problem,2019,Female,18.4,15.5,21.7,Per cent,1.6,1
