Category,Topic,Indicator,Year,Sex,Result,95% CI (L),95% CI (U),Unit,SE,Region
Mental health,Self-rated mental health,1. Excellent/very good,2020,Male,70.6,65.2,75.5,Per cent,2.6,1
Mental health,Self-rated mental health,1. Excellent/very good,2020,Person,31.7,19.2,47.4,Per cent,7.3,1
Mental health,Self-rated mental health,1. Excellent/very good,2020,Person,48.3,42.4,54.1,Per cent,3,1
Mental health,Self-rated mental health,1. Excellent/very good,2020,Person,52,48.1,55.8,Per cent,2,1
Mental health,Self-rated mental health,1. Excellent/very good,2020,Person,52.5,46.8,58.3,Per cent,2.9,1
Mental health,Self-rated mental health,1. Excellent/very good,2020,Person,71.1,61.4,79.2,Per cent,4.6,1
Mental health,Self-rated mental health,1. Excellent/very good,2020,Person,71.4,67.7,74.9,Per cent,1.8,1
Mental health,Self-rated mental health,2. Good,2018,Female,21.3,12.7,33.5,Per cent,5.3,1
Mental health,Self-rated mental health,2. Good,2018,Female,28,23.9,32.4,Per cent,2.2,1
Mental health,Self-rated mental health,2. Good,2018,Male,20.9,13.6,30.6,Per cent,4.3,1
Mental health,Self-rated mental health,2. Good,2018,Male,26.5,22.1,31.4,Per cent,2.4,1
Mental health,Self-rated mental health,2. Good,2018,Person,21.1,15.2,28.6,Per cent,3.4,1
Mental health,Self-rated mental health,2. Good,2018,Person,24.8,19.4,31.1,Per cent,3,1
Mental health,Self-rated mental health,2. Good,2018,Person,25.7,21.2,30.8,Per cent,2.5,1
Mental health,Self-rated mental health,2. Good,2018,Person,27.2,24.2,30.5,Per cent,1.6,1
Mental health,Self-rated mental health,2. Good,2018,Person,27.8,23.2,32.9,Per cent,2.5,1
Mental health,Self-rated mental health,2. Good,2018,Person,32,20.6,46.1,Per cent,6.6,1
Mental health,Self-rated mental health,2. Good,2019,Female,29.9,26.4,33.6,Per cent,1.8,1
Mental health,Self-rated mental health,2. Good,2019,Male,29.3,25.3,33.6,Per cent,2.1,1
Mental health,Self-rated mental health,2. Good,2019,Person,23.5,19.6,27.9,Per cent,2.1,1
Mental health,Self-rated mental health,2. Good,2019,Person,27.3,23.8,31,Per cent,1.8,1
Mental health,Self-rated mental health,2. Good,2019,Person,29.6,27,32.4,Per cent,1.4,1
Mental health,Self-rated mental health,2. Good,2019,Person,31.4,26.9,36.3,Per cent,2.4,1
Mental health,Self-rated mental health,2. Good,2019,Person,37.7,26.9,49.9,Per cent,5.9,1
Mental health,Self-rated mental health,2. Good,2020,Female,18.4,14.5,23.1,Per cent,2.2,1
Mental health,Self-rated mental health,2. Good,2020,Female,28.1,23.8,32.9,Per cent,2.3,1
Mental health,Self-rated mental health,2. Good,2020,Male,23.2,18.8,28.3,Per cent,2.4,1
Mental health,Self-rated mental health,2. Good,2020,Male,28.7,24,34,Per cent,2.6,1
Mental health,Self-rated mental health,2. Good,2020,Person,17.4,11.5,25.3,Per cent,3.5,1
Mental health,Self-rated mental health,2. Good,2020,Person,20.8,17.8,24.2,Per cent,1.6,1
Mental health,Self-rated mental health,2. Good,2020,Person,28.4,25.1,31.9,Per cent,1.7,1
Mental health,Self-rated mental health,2. Good,2020,Person,28.7,16.8,44.5,Per cent,7.2,1
Mental health,Self-rated mental health,2. Good,2020,Person,29.8,24.7,35.5,Per cent,2.8,1
Mental health,Self-rated mental health,2. Good,2020,Person,31.4,26.3,36.9,Per cent,2.7,1
Mental health,Self-rated mental health,3. Fair/poor,2018,Female,4.9,2,11.9,Per cent,2.3,1
Mental health,Self-rated mental health,3. Fair/poor,2018,Female,18.5,15,22.6,Per cent,2,1
Mental health,Self-rated mental health,3. Fair/poor,2018,Male,15,11.4,19.4,Per cent,2,1
Mental health,Self-rated mental health,3. Fair/poor,2018,Person,6.2,3.7,10.1,Per cent,1.6,1
Mental health,Self-rated mental health,3. Fair/poor,2018,Person,8.5,5.6,12.9,Per cent,1.8,1
Mental health,Self-rated mental health,3. Fair/poor,2018,Person,15.3,11.8,19.6,Per cent,2,1
Mental health,Self-rated mental health,3. Fair/poor,2018,Person,16.8,14.2,19.7,Per cent,1.4,1
Mental health,Self-rated mental health,3. Fair/poor,2018,Person,17,13.3,21.6,Per cent,2.1,1
Mental health,Self-rated mental health,3. Fair/poor,2018,Person,28.8,17.9,42.9,Per cent,6.4,1
Mental health,Self-rated mental health,3. Fair/poor,2019,Female,20.3,17.2,23.8,Per cent,1.7,1
Mental health,Self-rated mental health,3. Fair/poor,2019,Male,13.3,10.4,17,Per cent,1.7,1
Mental health,Self-rated mental health,3. Fair/poor,2019,Person,12,8.8,16,Per cent,1.8,1
Mental health,Self-rated mental health,3. Fair/poor,2019,Person,15.6,12.8,18.9,Per cent,1.6,1
Mental health,Self-rated mental health,3. Fair/poor,2019,Person,17,14.8,19.5,Per cent,1.2,1
Mental health,Self-rated mental health,3. Fair/poor,2019,Person,18.6,15,23,Per cent,2,1
Mental health,Self-rated mental health,3. Fair/poor,2019,Person,21.9,13.3,33.9,Per cent,5.2,1
Mental health,Self-rated mental health,3. Fair/poor,2020,Female,9.2,6.3,13,Per cent,1.7,1
Mental health,Self-rated mental health,3. Fair/poor,2020,Female,23.8,19.5,28.8,Per cent,2.4,1
Mental health,Self-rated mental health,3. Fair/poor,2020,Male,15.1,11.6,19.3,Per cent,2,1
Mental health,Self-rated mental health,3. Fair/poor,2020,Person,7.7,5.9,10.1,Per cent,1.1,1
Mental health,Self-rated mental health,3. Fair/poor,2020,Person,11.5,6.2,20.5,Per cent,3.5,1
Mental health,Self-rated mental health,3. Fair/poor,2020,Person,17.6,14,21.9,Per cent,2,1
Mental health,Self-rated mental health,3. Fair/poor,2020,Person,19.7,16.8,22.9,Per cent,1.6,1
Mental health,Self-rated mental health,3. Fair/poor,2020,Person,20.4,16,25.5,Per cent,2.4,1
Mental health,Self-rated mental health,3. Fair/poor,2020,Person,39.6,25.6,55.7,Per cent,7.9,1
Mental health,Self-rated mental health,Fair/poor,2018,Male,7.4,4.1,13.1,Per cent,2.2,1
Mental health,Self-rated mental health,Fair/poor,2020,Male,6.2,4.2,9.2,Per cent,1.3,1
Physical activity,Self-rated physical activity,1. Very active,2018,Female,12,9.1,15.6,Per cent,1.6,1
Physical activity,Self-rated physical activity,1. Very active,2018,Female,41.7,33.1,50.8,Per cent,4.6,1
Physical activity,Self-rated physical activity,1. Very active,2018,Male,15,11.7,18.9,Per cent,1.8,1
Physical activity,Self-rated physical activity,1. Very active,2018,Male,56.1,47.5,64.4,Per cent,4.4,1
Physical activity,Self-rated physical activity,1. Very active,2018,Person,13.5,11.2,16,Per cent,1.2,1
Physical activity,Self-rated physical activity,1. Very active,2018,Person,49.2,43,55.5,Per cent,3.2,1
Physical activity,Self-rated physical activity,1. Very active,2019,Female,14.3,11.8,17.2,Per cent,1.4,1
Physical activity,Self-rated physical activity,1. Very active,2019,Male,22.7,19.2,26.7,Per cent,1.9,1
Physical activity,Self-rated physical activity,1. Very active,2019,Person,18.5,16.3,20.9,Per cent,1.2,1
Physical activity,Self-rated physical activity,1. Very active,2020,Female,12.5,9.3,16.6,Per cent,1.8,1
Physical activity,Self-rated physical activity,1. Very active,2020,Female,33.7,28.7,39,Per cent,2.6,1
Physical activity,Self-rated physical activity,1. Very active,2020,Male,18.7,14.5,23.8,Per cent,2.4,1
Physical activity,Self-rated physical activity,1. Very active,2020,Male,40,34.5,45.8,Per cent,2.9,1
Physical activity,Self-rated physical activity,1. Very active,2020,Person,15.8,13.1,19.1,Per cent,1.5,1
Physical activity,Self-rated physical activity,1. Very active,2020,Person,36.8,33.1,40.7,Per cent,1.9,1
Physical activity,Self-rated physical activity,2. Active,2018,Female,24.1,20.4,28.2,Per cent,2,1
Physical activity,Self-rated physical activity,2. Active,2018,Female,31,23.3,39.9,Per cent,4.2,1
Physical activity,Self-rated physical activity,2. Active,2018,Male,29.6,22.1,38.4,Per cent,4.2,1
Physical activity,Self-rated physical activity,2. Active,2018,Male,34.3,29.5,39.3,Per cent,2.5,1
Physical activity,Self-rated physical activity,2. Active,2018,Person,29.1,26.1,32.3,Per cent,1.6,1
Physical activity,Self-rated physical activity,2. Active,2018,Person,30.3,24.8,36.4,Per cent,3,1
Physical activity,Self-rated physical activity,2. Active,2019,Female,24.3,21.2,27.7,Per cent,1.7,1
Physical activity,Self-rated physical activity,2. Active,2019,Male,28.3,24.5,32.4,Per cent,2,1
Physical activity,Self-rated physical activity,2. Active,2019,Person,26.2,23.8,28.9,Per cent,1.3,1
Physical activity,Self-rated physical activity,2. Active,2020,Female,23.1,19,27.8,Per cent,2.3,1
Physical activity,Self-rated physical activity,2. Active,2020,Female,35.1,30.1,40.5,Per cent,2.7,1
Physical activity,Self-rated physical activity,2. Active,2020,Male,30.8,24.8,37.5,Per cent,3.2,1
Physical activity,Self-rated physical activity,2. Active,2020,Male,35.5,30.4,41,Per cent,2.7,1
Physical activity,Self-rated physical activity,2. Active,2020,Person,29.2,25.9,32.8,Per cent,1.8,1
Physical activity,Self-rated physical activity,2. Active,2020,Person,32.9,28.9,37.1,Per cent,2.1,1
Physical activity,Self-rated physical activity,3. Moderately active,2018,Female,21.9,14.9,31.1,Per cent,4.1,1
Physical activity,Self-rated physical activity,3. Moderately active,2018,Female,38.4,34,43,Per cent,2.3,1
Physical activity,Self-rated physical activity,3. Moderately active,2018,Male,11.1,7.4,16.3,Per cent,2.2,1
Physical activity,Self-rated physical activity,3. Moderately active,2018,Male,33,28.3,38,Per cent,2.5,1
Physical activity,Self-rated physical activity,3. Moderately active,2018,Person,16.2,12.1,21.4,Per cent,2.4,1
Physical activity,Self-rated physical activity,3. Moderately active,2018,Person,35.7,32.5,39.1,Per cent,1.7,1
Physical activity,Self-rated physical activity,3. Moderately active,2019,Female,40,36.2,43.9,Per cent,2,1
Physical activity,Self-rated physical activity,3. Moderately active,2019,Male,33.6,29.5,37.9,Per cent,2.2,1
Physical activity,Self-rated physical activity,3. Moderately active,2019,Person,36.8,34,39.7,Per cent,1.5,1
Physical activity,Self-rated physical activity,3. Moderately active,2020,Female,25.4,20.8,30.6,Per cent,2.5,1
Physical activity,Self-rated physical activity,3. Moderately active,2020,Female,40,34.9,45.2,Per cent,2.6,1
Physical activity,Self-rated physical activity,3. Moderately active,2020,Male,21.8,17.8,26.5,Per cent,2.2,1
Physical activity,Self-rated physical activity,3. Moderately active,2020,Male,31.9,26.9,37.4,Per cent,2.7,1
Physical activity,Self-rated physical activity,3. Moderately active,2020,Person,23.6,20.5,27.1,Per cent,1.7,1
Physical activity,Self-rated physical activity,3. Moderately active,2020,Person,35.9,32.3,39.7,Per cent,1.9,1
Physical activity,Self-rated physical activity,4. Not very active,2018,Female,22.3,18.6,26.5,Per cent,2,1
Physical activity,Self-rated physical activity,4. Not very active,2018,Male,15.3,12,19.5,Per cent,1.9,1
Physical activity,Self-rated physical activity,4. Not very active,2018,Person,18.9,16.3,21.8,Per cent,1.4,1
Physical activity,Self-rated physical activity,4. Not very active,2019,Female,18.1,15.4,21.2,Per cent,1.5,1
Physical activity,Self-rated physical activity,4. Not very active,2019,Male,13.6,11,16.8,Per cent,1.5,1
Physical activity,Self-rated physical activity,4. Not very active,2019,Person,15.9,13.9,18.1,Per cent,1.1,1
Physical activity,Self-rated physical activity,4. Not very active,2020,Female,19.3,15.6,23.6,Per cent,2,1
Physical activity,Self-rated physical activity,4. Not very active,2020,Male,10.8,8,14.5,Per cent,1.6,1
Physical activity,Self-rated physical activity,4. Not very active,2020,Person,15.1,12.7,17.8,Per cent,1.3,1
Physical activity,Self-rated physical activity,5. Not at all active,2018,Female,3.2,1.9,5.3,Per cent,0.8,1
Physical activity,Self-rated physical activity,5. Not at all active,2018,Male,2.5,1.3,4.8,Per cent,0.8,1
Physical activity,Self-rated physical activity,5. Not at all active,2018,Person,2.9,1.9,4.3,Per cent,0.6,1
Physical activity,Self-rated physical activity,5. Not at all active,2019,Female,3.3,2.2,5,Per cent,0.7,1
Physical activity,Self-rated physical activity,5. Not at all active,2019,Male,1.8,0.9,3.4,Per cent,0.6,1
Physical activity,Self-rated physical activity,5. Not at all active,2019,Person,2.6,1.8,3.6,Per cent,0.5,1
Physical activity,Self-rated physical activity,5. Not at all active,2020,Female,5.1,3.1,8.4,Per cent,1.3,1
Physical activity,Self-rated physical activity,5. Not at all active,2020,Male,3,1.8,5.2,Per cent,0.8,1
Physical activity,Self-rated physical activity,5. Not at all active,2020,Person,4,2.8,5.8,Per cent,0.8,1
